This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for D-68011054 (margin) since 8/15/25 through 4/6/26

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
11/6/25,01:00:00,BAL,,Cash balance at the start of business day 06.11 CST,,,,"100,000.00"
11/7/25,01:00:00,BAL,,Cash balance at the start of business day 07.11 CST,,,,"100,000.00"
11/8/25,01:00:00,BAL,,Cash balance at the start of business day 08.11 CST,,,,"100,000.00"
11/9/25,01:00:00,BAL,,Cash balance at the start of business day 09.11 CST,,,,"100,000.00"
11/10/25,01:00:00,BAL,,Cash balance at the start of business day 10.11 CST,,,,"100,000.00"
11/11/25,01:00:00,BAL,,Cash balance at the start of business day 11.11 CST,,,,"100,000.00"
11/12/25,01:00:00,BAL,,Cash balance at the start of business day 12.11 CST,,,,"100,000.00"
11/13/25,01:00:00,BAL,,Cash balance at the start of business day 13.11 CST,,,,"100,000.00"
11/14/25,01:00:00,BAL,,Cash balance at the start of business day 14.11 CST,,,,"100,000.00"
11/15/25,01:00:00,BAL,,Cash balance at the start of business day 15.11 CST,,,,"100,000.00"
11/16/25,01:00:00,BAL,,Cash balance at the start of business day 16.11 CST,,,,"100,000.00"
11/17/25,01:00:00,BAL,,Cash balance at the start of business day 17.11 CST,,,,"100,000.00"
11/18/25,01:00:00,BAL,,Cash balance at the start of business day 18.11 CST,,,,"100,000.00"
11/19/25,01:00:00,BAL,,Cash balance at the start of business day 19.11 CST,,,,"100,000.00"
11/20/25,01:00:00,BAL,,Cash balance at the start of business day 20.11 CST,,,,"100,000.00"
11/21/25,01:00:00,BAL,,Cash balance at the start of business day 21.11 CST,,,,"100,000.00"
11/22/25,01:00:00,BAL,,Cash balance at the start of business day 22.11 CST,,,,"100,000.00"
11/23/25,01:00:00,BAL,,Cash balance at the start of business day 23.11 CST,,,,"100,000.00"
11/24/25,01:00:00,BAL,,Cash balance at the start of business day 24.11 CST,,,,"100,000.00"
11/25/25,01:00:00,BAL,,Cash balance at the start of business day 25.11 CST,,,,"100,000.00"
11/26/25,01:00:00,BAL,,Cash balance at the start of business day 26.11 CST,,,,"100,000.00"
11/27/25,01:00:00,BAL,,Cash balance at the start of business day 27.11 CST,,,,"100,000.00"
11/28/25,01:00:00,BAL,,Cash balance at the start of business day 28.11 CST,,,,"100,000.00"
11/29/25,01:00:00,BAL,,Cash balance at the start of business day 29.11 CST,,,,"100,000.00"
11/30/25,01:00:00,BAL,,Cash balance at the start of business day 30.11 CST,,,,"100,000.00"
12/1/25,01:00:00,BAL,,Cash balance at the start of business day 01.12 CST,,,,"100,000.00"
12/2/25,01:00:00,BAL,,Cash balance at the start of business day 02.12 CST,,,,"100,000.00"
12/3/25,01:00:00,BAL,,Cash balance at the start of business day 03.12 CST,,,,"100,000.00"
12/4/25,01:00:00,BAL,,Cash balance at the start of business day 04.12 CST,,,,"100,000.00"
12/5/25,01:00:00,BAL,,Cash balance at the start of business day 05.12 CST,,,,"100,000.00"
12/5/25,15:41:09,TRD,="5271572671",SOLD -2 JPM 100 16 JAN 26 305 PUT @6.65,-0.03,-1.30,"1,330.00","101,328.67"
12/5/25,15:43:16,TRD,="5271576516",SOLD -2 HOOD 100 16 JAN 26 120 PUT @5.60,-0.03,-1.30,"1,120.00","102,447.34"
12/6/25,01:00:00,BAL,,Cash balance at the start of business day 06.12 CST,,,,"102,447.34"
12/7/25,01:00:00,BAL,,Cash balance at the start of business day 07.12 CST,,,,"102,447.34"
12/8/25,01:00:00,BAL,,Cash balance at the start of business day 08.12 CST,,,,"102,447.34"
12/9/25,01:00:00,BAL,,Cash balance at the start of business day 09.12 CST,,,,"102,447.34"
12/10/25,01:00:00,BAL,,Cash balance at the start of business day 10.12 CST,,,,"102,447.34"
12/11/25,01:00:00,BAL,,Cash balance at the start of business day 11.12 CST,,,,"102,447.34"
12/12/25,01:00:00,BAL,,Cash balance at the start of business day 12.12 CST,,,,"102,447.34"
12/12/25,14:05:52,TRD,="5274638150",tIP BOT +2 HOOD 100 16 JAN 26 120 PUT @8.45,-0.01,-1.30,"-1,690.00","100,756.03"
12/13/25,01:00:00,BAL,,Cash balance at the start of business day 13.12 CST,,,,"100,756.03"
12/14/25,01:00:00,BAL,,Cash balance at the start of business day 14.12 CST,,,,"100,756.03"
12/15/25,01:00:00,BAL,,Cash balance at the start of business day 15.12 CST,,,,"100,756.03"
12/16/25,01:00:00,BAL,,Cash balance at the start of business day 16.12 CST,,,,"100,756.03"
12/17/25,01:00:00,BAL,,Cash balance at the start of business day 17.12 CST,,,,"100,756.03"
12/18/25,01:00:00,BAL,,Cash balance at the start of business day 18.12 CST,,,,"100,756.03"
12/19/25,01:00:00,BAL,,Cash balance at the start of business day 19.12 CST,,,,"100,756.03"
12/20/25,01:00:00,BAL,,Cash balance at the start of business day 20.12 CST,,,,"100,756.03"
12/21/25,01:00:00,BAL,,Cash balance at the start of business day 21.12 CST,,,,"100,756.03"
12/22/25,01:00:00,BAL,,Cash balance at the start of business day 22.12 CST,,,,"100,756.03"
12/23/25,01:00:00,BAL,,Cash balance at the start of business day 23.12 CST,,,,"100,756.03"
12/23/25,10:58:18,TRD,="5278831939",SOLD -2 ARM 100 (Weeklys) 30 JAN 26 100 PUT @2.04,-0.02,-1.30,408.00,"101,162.71"
12/24/25,01:00:00,BAL,,Cash balance at the start of business day 24.12 CST,,,,"101,162.71"
12/25/25,01:00:00,BAL,,Cash balance at the start of business day 25.12 CST,,,,"101,162.71"
12/26/25,01:00:00,BAL,,Cash balance at the start of business day 26.12 CST,,,,"101,162.71"
12/27/25,01:00:00,BAL,,Cash balance at the start of business day 27.12 CST,,,,"101,162.71"
12/28/25,01:00:00,BAL,,Cash balance at the start of business day 28.12 CST,,,,"101,162.71"
12/29/25,01:00:00,BAL,,Cash balance at the start of business day 29.12 CST,,,,"101,162.71"
12/30/25,01:00:00,BAL,,Cash balance at the start of business day 30.12 CST,,,,"101,162.71"
12/31/25,01:00:00,BAL,,Cash balance at the start of business day 31.12 CST,,,,"101,162.71"
12/31/25,10:51:22,TRD,="5281325105",tIPAD SOLD -2 ORCL 100 20 FEB 26 180 PUT @5.55,-0.03,-1.30,"1,110.00","102,271.38"
1/1/26,01:00:00,BAL,,Cash balance at the start of business day 01.01 CST,,,,"102,271.38"
1/2/26,01:00:00,BAL,,Cash balance at the start of business day 02.01 CST,,,,"102,271.38"
1/3/26,01:00:00,BAL,,Cash balance at the start of business day 03.01 CST,,,,"102,271.38"
1/4/26,01:00:00,BAL,,Cash balance at the start of business day 04.01 CST,,,,"102,271.38"
1/5/26,01:00:00,BAL,,Cash balance at the start of business day 05.01 CST,,,,"102,271.38"
1/5/26,10:17:38,TRD,="5282466795",BOT +2 JPM 100 16 JAN 26 305 PUT @.84,-0.01,-1.30,-168.00,"102,102.07"
1/5/26,11:28:28,TRD,="5282573219",SOLD -4 NFLX 100 20 FEB 26 105 CALL @1.31,-0.03,-2.60,524.00,"102,623.44"
1/5/26,11:30:22,TRD,="5282573270",SOLD -2 JPM 100 20 FEB 26 310 PUT @3.60,-0.02,-1.30,720.00,"103,342.12"
1/5/26,15:25:11,TRD,="5282785231",SOLD -1 MSFT 100 20 FEB 26 450 PUT @8.20,-0.02,-0.65,820.00,"104,161.45"
1/6/26,01:00:00,BAL,,Cash balance at the start of business day 06.01 CST,,,,"104,161.45"
1/6/26,14:17:39,TRD,="5283323486",BOT +2 ARM 100 (Weeklys) 30 JAN 26 100 PUT @.93,-0.01,-1.30,-186.00,"103,974.14"
1/7/26,01:00:00,BAL,,Cash balance at the start of business day 07.01 CST,,,,"103,974.14"
1/8/26,01:00:00,BAL,,Cash balance at the start of business day 08.01 CST,,,,"103,974.14"
1/9/26,01:00:00,BAL,,Cash balance at the start of business day 09.01 CST,,,,"103,974.14"
1/10/26,01:00:00,BAL,,Cash balance at the start of business day 10.01 CST,,,,"103,974.14"
1/11/26,01:00:00,BAL,,Cash balance at the start of business day 11.01 CST,,,,"103,974.14"
1/12/26,01:00:00,BAL,,Cash balance at the start of business day 12.01 CST,,,,"103,974.14"
1/13/26,01:00:00,BAL,,Cash balance at the start of business day 13.01 CST,,,,"103,974.14"
1/14/26,01:00:00,BAL,,Cash balance at the start of business day 14.01 CST,,,,"103,974.14"
1/15/26,01:00:00,BAL,,Cash balance at the start of business day 15.01 CST,,,,"103,974.14"
1/16/26,01:00:00,BAL,,Cash balance at the start of business day 16.01 CST,,,,"103,974.14"
1/17/26,01:00:00,BAL,,Cash balance at the start of business day 17.01 CST,,,,"103,974.14"
1/18/26,01:00:00,BAL,,Cash balance at the start of business day 18.01 CST,,,,"103,974.14"
1/19/26,01:00:00,BAL,,Cash balance at the start of business day 19.01 CST,,,,"103,974.14"
1/20/26,01:00:00,BAL,,Cash balance at the start of business day 20.01 CST,,,,"103,974.14"
1/21/26,01:00:00,BAL,,Cash balance at the start of business day 21.01 CST,,,,"103,974.14"
1/22/26,01:00:00,BAL,,Cash balance at the start of business day 22.01 CST,,,,"103,974.14"
1/23/26,01:00:00,BAL,,Cash balance at the start of business day 23.01 CST,,,,"103,974.14"
1/23/26,12:23:33,TRD,="5291015290",SOLD -2 DIAGONAL JPM 100 20 MAR 26/20 FEB 26 300/310 PUT @-3.45,-0.06,-2.60,-690.00,"103,281.48"
1/24/26,01:00:00,BAL,,Cash balance at the start of business day 24.01 CST,,,,"103,281.48"
1/25/26,01:00:00,BAL,,Cash balance at the start of business day 25.01 CST,,,,"103,281.48"
1/26/26,01:00:00,BAL,,Cash balance at the start of business day 26.01 CST,,,,"103,281.48"
1/26/26,13:25:28,TRD,="5291807388",BOT +2 JPM 100 20 MAR 26 300 PUT @9.30,-0.01,-1.30,"-1,860.00","101,420.17"
1/26/26,13:27:45,TRD,="5291810448",BOT +4 NFLX 100 20 FEB 26 105 CALL @.13,-0.02,-2.60,-52.00,"101,365.55"
1/27/26,01:00:00,BAL,,Cash balance at the start of business day 27.01 CST,,,,"101,365.55"
1/27/26,15:33:34,TRD,="5292572954",SOLD -1 QQQM 100 20 MAR 26 260 PUT @6.60,-0.02,-0.65,660.00,"102,024.88"
1/28/26,01:00:00,BAL,,Cash balance at the start of business day 28.01 CST,,,,"102,024.88"
1/29/26,01:00:00,BAL,,Cash balance at the start of business day 29.01 CST,,,,"102,024.88"
1/29/26,12:25:00,TRD,="5293747224",SOLD -2 DIAGONAL ORCL 100 20 MAR 26/20 FEB 26 165/180 PUT @-3.20,-0.07,-2.60,-640.00,"101,382.21"
1/30/26,01:00:00,BAL,,Cash balance at the start of business day 30.01 CST,,,,"101,382.21"
1/31/26,01:00:00,BAL,,Cash balance at the start of business day 31.01 CST,,,,"101,382.21"
2/1/26,01:00:00,BAL,,Cash balance at the start of business day 01.02 CST,,,,"101,382.21"
2/2/26,01:00:00,BAL,,Cash balance at the start of business day 02.02 CST,,,,"101,382.21"
2/3/26,01:00:00,BAL,,Cash balance at the start of business day 03.02 CST,,,,"101,382.21"
2/4/26,01:00:00,BAL,,Cash balance at the start of business day 04.02 CST,,,,"101,382.21"
2/5/26,01:00:00,BAL,,Cash balance at the start of business day 05.02 CST,,,,"101,382.21"
2/6/26,01:00:00,BAL,,Cash balance at the start of business day 06.02 CST,,,,"101,382.21"
2/6/26,11:24:48,TRD,="5297837244",BOT +1 MSFT 100 20 FEB 26 450 PUT @53.45,-0.01,-0.65,"-5,345.00","96,036.55"
2/6/26,11:25:51,TRD,="5297838734",BOT +1 ORCL 100 20 MAR 26 165 PUT @28.35,-0.01,-0.65,"-2,835.00","93,200.89"
2/7/26,01:00:00,BAL,,Cash balance at the start of business day 07.02 CST,,,,"93,200.89"
2/8/26,01:00:00,BAL,,Cash balance at the start of business day 08.02 CST,,,,"93,200.89"
2/9/26,01:00:00,BAL,,Cash balance at the start of business day 09.02 CST,,,,"93,200.89"
2/10/26,01:00:00,BAL,,Cash balance at the start of business day 10.02 CST,,,,"93,200.89"
2/11/26,01:00:00,BAL,,Cash balance at the start of business day 11.02 CST,,,,"93,200.89"
2/12/26,01:00:00,BAL,,Cash balance at the start of business day 12.02 CST,,,,"93,200.89"
2/13/26,01:00:00,BAL,,Cash balance at the start of business day 13.02 CST,,,,"93,200.89"
2/14/26,01:00:00,BAL,,Cash balance at the start of business day 14.02 CST,,,,"93,200.89"
2/15/26,01:00:00,BAL,,Cash balance at the start of business day 15.02 CST,,,,"93,200.89"
2/16/26,01:00:00,BAL,,Cash balance at the start of business day 16.02 CST,,,,"93,200.89"
2/17/26,01:00:00,BAL,,Cash balance at the start of business day 17.02 CST,,,,"93,200.89"
2/18/26,01:00:00,BAL,,Cash balance at the start of business day 18.02 CST,,,,"93,200.89"
2/19/26,01:00:00,BAL,,Cash balance at the start of business day 19.02 CST,,,,"93,200.89"
2/20/26,01:00:00,BAL,,Cash balance at the start of business day 20.02 CST,,,,"93,200.89"
2/20/26,12:09:50,TRD,="5303948133",tIP BOT +1 QQQM 100 20 MAR 26 260 PUT @10.80,-0.01,-0.65,"-1,080.00","92,120.23"
2/20/26,12:09:55,TRD,="5303948142",tIP BOT +1 ORCL 100 20 MAR 26 165 PUT @21.10,-0.01,-0.65,"-2,110.00","90,009.57"
2/21/26,01:00:00,BAL,,Cash balance at the start of business day 21.02 CST,,,,"90,009.57"
2/22/26,01:00:00,BAL,,Cash balance at the start of business day 22.02 CST,,,,"90,009.57"
2/23/26,01:00:00,BAL,,Cash balance at the start of business day 23.02 CST,,,,"90,009.57"
2/24/26,01:00:00,BAL,,Cash balance at the start of business day 24.02 CST,,,,"90,009.57"
2/25/26,01:00:00,BAL,,Cash balance at the start of business day 25.02 CST,,,,"90,009.57"
2/26/26,01:00:00,BAL,,Cash balance at the start of business day 26.02 CST,,,,"90,009.57"
2/27/26,01:00:00,BAL,,Cash balance at the start of business day 27.02 CST,,,,"90,009.57"
2/28/26,01:00:00,BAL,,Cash balance at the start of business day 28.02 CST,,,,"90,009.57"
3/1/26,01:00:00,BAL,,Cash balance at the start of business day 01.03 CST,,,,"90,009.57"
3/2/26,01:00:00,BAL,,Cash balance at the start of business day 02.03 CST,,,,"90,009.57"
3/2/26,13:57:11,TRD,="5308075467",SOLD -1 JPM 100 17 APR 26 275 PUT @5.60,-0.02,-0.65,560.00,"90,568.90"
3/3/26,01:00:00,BAL,,Cash balance at the start of business day 03.03 CST,,,,"90,568.90"
3/4/26,01:00:00,BAL,,Cash balance at the start of business day 04.03 CST,,,,"90,568.90"
3/5/26,01:00:00,BAL,,Cash balance at the start of business day 05.03 CST,,,,"90,568.90"
3/6/26,01:00:00,BAL,,Cash balance at the start of business day 06.03 CST,,,,"90,568.90"
3/7/26,01:00:00,BAL,,Cash balance at the start of business day 07.03 CST,,,,"90,568.90"
3/8/26,01:00:00,BAL,,Cash balance at the start of business day 08.03 CST,,,,"90,568.90"
3/9/26,01:00:00,BAL,,Cash balance at the start of business day 09.03 CST,,,,"90,568.90"
3/10/26,01:00:00,BAL,,Cash balance at the start of business day 10.03 CST,,,,"90,568.90"
3/11/26,01:00:00,BAL,,Cash balance at the start of business day 11.03 CST,,,,"90,568.90"
3/12/26,01:00:00,BAL,,Cash balance at the start of business day 12.03 CST,,,,"90,568.90"
3/13/26,01:00:00,BAL,,Cash balance at the start of business day 13.03 CST,,,,"90,568.90"
3/14/26,01:00:00,BAL,,Cash balance at the start of business day 14.03 CST,,,,"90,568.90"
3/15/26,01:00:00,BAL,,Cash balance at the start of business day 15.03 CST,,,,"90,568.90"
3/16/26,01:00:00,BAL,,Cash balance at the start of business day 16.03 CST,,,,"90,568.90"
3/17/26,01:00:00,BAL,,Cash balance at the start of business day 17.03 CST,,,,"90,568.90"
3/18/26,01:00:00,BAL,,Cash balance at the start of business day 18.03 CST,,,,"90,568.90"
3/19/26,01:00:00,BAL,,Cash balance at the start of business day 19.03 CST,,,,"90,568.90"
3/20/26,01:00:00,BAL,,Cash balance at the start of business day 20.03 CST,,,,"90,568.90"
3/21/26,01:00:00,BAL,,Cash balance at the start of business day 21.03 CST,,,,"90,568.90"
3/22/26,01:00:00,BAL,,Cash balance at the start of business day 22.03 CST,,,,"90,568.90"
3/23/26,01:00:00,BAL,,Cash balance at the start of business day 23.03 CST,,,,"90,568.90"
3/24/26,01:00:00,BAL,,Cash balance at the start of business day 24.03 CST,,,,"90,568.90"
3/25/26,01:00:00,BAL,,Cash balance at the start of business day 25.03 CST,,,,"90,568.90"
3/26/26,01:00:00,BAL,,Cash balance at the start of business day 26.03 CST,,,,"90,568.90"
3/27/26,01:00:00,BAL,,Cash balance at the start of business day 27.03 CST,,,,"90,568.90"
3/28/26,01:00:00,BAL,,Cash balance at the start of business day 28.03 CST,,,,"90,568.90"
3/29/26,01:00:00,BAL,,Cash balance at the start of business day 29.03 CST,,,,"90,568.90"
3/30/26,01:00:00,BAL,,Cash balance at the start of business day 30.03 CST,,,,"90,568.90"
3/31/26,01:00:00,BAL,,Cash balance at the start of business day 31.03 CST,,,,"90,568.90"
4/1/26,01:00:00,BAL,,Cash balance at the start of business day 01.04 CST,,,,"90,568.90"
4/2/26,01:00:00,BAL,,Cash balance at the start of business day 02.04 CST,,,,"90,568.90"
4/3/26,01:00:00,BAL,,Cash balance at the start of business day 03.04 CST,,,,"90,568.90"
4/4/26,01:00:00,BAL,,Cash balance at the start of business day 04.04 CST,,,,"90,568.90"
4/5/26,01:00:00,BAL,,Cash balance at the start of business day 05.04 CST,,,,"90,568.90"
4/6/26,01:00:00,BAL,,Cash balance at the start of business day 06.04 CST,,,,"90,568.90"
4/6/26,11:56:10,TRD,="5324242807",SOLD -5 DOW 100 17 APR 26 39 PUT @.94,-0.04,-3.25,470.00,"91,035.61"
4/6/26,11:59:08,TRD,="5324245542",SOLD -5 HAL 100 17 APR 26 36 PUT @.42,-0.04,-3.25,210.00,"91,242.32"
4/6/26,12:01:26,TRD,="5324246856",SOLD -1 BP 100 18 JUN 26 42 PUT @1.09,-0.02,-0.65,109.00,"91,350.65"
,,,,TOTAL,($0.55),($33.80),"($8,615.00)","$91,350.65"

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance
,8/15/25,01:00:00,BAL,--,Cash balance at the start of the business day 15.08 CST.,--,--,--,$0.00
,8/16/25,01:00:00,BAL,--,Cash balance at the start of the business day 16.08 CST.,--,--,--,$0.00
,8/17/25,01:00:00,BAL,--,Cash balance at the start of the business day 17.08 CST.,--,--,--,$0.00
,8/18/25,01:00:00,BAL,--,Cash balance at the start of the business day 18.08 CST.,--,--,--,$0.00
,8/19/25,01:00:00,BAL,--,Cash balance at the start of the business day 19.08 CST.,--,--,--,$0.00
,8/20/25,01:00:00,BAL,--,Cash balance at the start of the business day 20.08 CST.,--,--,--,$0.00
,8/21/25,01:00:00,BAL,--,Cash balance at the start of the business day 21.08 CST.,--,--,--,$0.00
,8/22/25,01:00:00,BAL,--,Cash balance at the start of the business day 22.08 CST.,--,--,--,$0.00
,8/23/25,01:00:00,BAL,--,Cash balance at the start of the business day 23.08 CST.,--,--,--,$0.00
,8/24/25,01:00:00,BAL,--,Cash balance at the start of the business day 24.08 CST.,--,--,--,$0.00
,8/25/25,01:00:00,BAL,--,Cash balance at the start of the business day 25.08 CST.,--,--,--,$0.00
,8/26/25,01:00:00,BAL,--,Cash balance at the start of the business day 26.08 CST.,--,--,--,$0.00
